Year;Country;Age_Group;Cases;Deaths
2014;Democratic Republic of the Congo;All ages;69;49
2014;Guinea;All ages;2730;1739
2014;Liberia;All ages;8115;3471
2014;Mali;All ages;8;6
2014;Nigeria;All ages;20;8
2014;Senegal;All ages;1;0
2014;Sierra Leone;All ages;9633;2827
2014;Spain;All ages;1;0
2014;United Kingdom;All ages;1;0
2014;United States;All ages;4;1
2015;Guinea;All ages;1076;796
2015;Italy;All ages;1;0
2015;Liberia;All ages;2561;1338
2015;Sierra Leone;All ages;4428;1128
2016;Guinea;All ages;8;9
2016;Liberia;All ages;2;1
2016;Sierra Leone;All ages;63;1
2017;Democratic Republic of the Congo;All ages;8;4
2018;Democratic Republic of the Congo;All ages;662;401
2019;Democratic Republic of the Congo;All ages;2772;1864
2020;Democratic Republic of the Congo;All ages;220;110
2021;Democratic Republic of the Congo;All ages;23;15
2021;Guinea;All ages;23;12
2022;Democratic Republic of the Congo;All ages;6;6
2022;Uganda;All ages;164;77
2023;Global;All ages;0;0
2024;Global;All ages;0;0
2025;Democratic Republic of the Congo;All ages;64;45
2025;Uganda;All ages;14;4
2026;Democratic Republic of the Congo;All ages;344;60
2026;Uganda;All ages;15;1
